SourceFile	GPSPosition	ImageDescription
Pattypan/RK_2508_2160546_Kopenhagen_Kastell.JPG	55.6914270699278 12.5948952300111	Kopenhagen - Kastell
Pattypan/RK_2508_2160547_Kopenhagen_Kastell.JPG	55.6914263500139 12.5948941798944	Kopenhagen - Kastell
Pattypan/RK_2508_2160548_Kopenhagen_Kastell.JPG	55.6921517299194 12.5948321700139	Kopenhagen - Kastell
Pattypan/RK_2508_2160558_Kopenhagen_Portland_Towers.JPG	55.7066981199889 12.5983561199944	Kopenhagen - Portland Towers
Pattypan/RK_2508_2160559_Kopenhagen_Portland_Towers.JPG	55.7067547800056 12.597703530025	Kopenhagen - Portland Towers
Pattypan/RK_2508_2160563_Kopenhagen_Portland_Towers.JPG	55.70745137995 12.5969551699806	Kopenhagen - Hamborg Plads / Portland Towers
Pattypan/RK_2508_2160564_Kopenhagen_Kalkbrænderihavn.JPG	55.712216829975 12.5908073799972	Kopenhagen - Kalkbrænderihavn
Pattypan/RK_2508_2160605_Kopenhagen_Amager_Bakke.JPG	55.683011 12.6165604500972	Kopenhagen - Amager Bakke
Pattypan/RK_2508_2160611_Kopenhagen_Amager_Bakke.JPG	55.6844211799997 12.6190912999969	Kopenhagen - Amager Bakke
Pattypan/RK_2508_2160631_Kopenhagen_Amager_Bakke.JPG	55.6846806799908 12.6192455500014	Kopenhagen - Amager Bakke
Pattypan/RK_2508_2160632_Kopenhagen_Amager_Bakke.JPG	55.6844273199956 12.6189470800064	Kopenhagen - Amager Bakke
Pattypan/RK_2508_2160634_Kopenhagen_Südliches_Refshale-Becken_Badezone.JPG	55.6899445300028 12.6101834999806	København: Søndre Refshalebassin Badezone \nKopenhagen: Südliches Refshale-Becken Badezone
